MEMBER_NO,DATE,BRANCH_CODE,BRANCH_TYPE,AMOUNT,CURRENCY,TRAN_CODE,TRAN_DESC
9871010809,2020-03-02,279,STORE,9678.00,PHP,IN1004,TYPE4
4512331948,2020-04-07,MOB,MOBILE,9980.00,PHP,IN1003,TYPE3
2039345907,2020-04-02,MOB,MOBILE,9506.00,PHP,IN1001,TYPE1
2850541110,2020-04-28,468,STORE,6194.00,PHP,IN1001,TYPE1
5286282656,2020-12-13,MOB,MOBILE,4391.00,PHP,IN1005,TYPE5
5228137644,2020-03-12,177,STORE,2253.00,PHP,IN1005,TYPE5
5701094540,2020-01-27,041,STORE,4449.75,PHP,IN1005,TYPE5
6746370338,2020-12-13,MOB,MOBILE,8650.00,PHP,IN1001,TYPE1
1274497065,2020-01-02,MOB,MOBILE,1446.75,PHP,IN1001,TYPE1
6160227949,2020-06-18,478,STORE,586.00,PHP,IN1002,TYPE2
4900308898,2020-03-03,685,STORE,8254.75,PHP,IN1002,TYPE2
3742437267,2020-11-24,MOB,MOBILE,5509.25,PHP,IN1002,TYPE2
9989209836,2020-02-12,393,STORE,1246.00,PHP,IN1004,TYPE4
3386072897,2020-03-08,309,STORE,85.25,PHP,IN1003,TYPE3
5026841652,2020-08-30,MOB,MOBILE,4328.25,PHP,IN1002,TYPE2
6990830540,2020-07-11,MOB,MOBILE,689.75,PHP,IN1004,TYPE4
0007378191,2020-05-10,MOB,MOBILE,4216.25,PHP,IN1001,TYPE1
5992080575,2020-08-07,559,STORE,318.50,PHP,IN1002,TYPE2
9628978495,2020-01-29,MOB,MOBILE,9521.50,PHP,IN1003,TYPE3
1523712334,2020-01-12,MOB,MOBILE,7798.25,PHP,IN1004,TYPE4
7743322124,2020-07-18,217,STORE,4585.75,PHP,IN1002,TYPE2
1275149756,2020-04-12,881,STORE,8114.00,PHP,IN1001,TYPE1
1558622380,2020-11-04,MOB,MOBILE,536.25,PHP,IN1002,TYPE2
8524202565,2020-02-29,MOB,MOBILE,391.75,PHP,IN1005,TYPE5
7018326741,2020-12-18,MOB,MOBILE,7011.50,PHP,IN1002,TYPE2
4886886370,2020-07-24,213,STORE,7463.25,PHP,IN1002,TYPE2
9884999547,2020-08-23,MOB,MOBILE,3231.25,PHP,IN1003,TYPE3
9778091720,2020-11-01,MOB,MOBILE,5010.50,PHP,IN1002,TYPE2
3177622117,2020-06-17,258,STORE,6145.75,PHP,IN1003,TYPE3
6563035555,2020-08-29,MOB,MOBILE,7727.75,PHP,IN1003,TYPE3
3168312923,2020-03-31,157,STORE,5995.25,PHP,IN1003,TYPE3
0492184871,2020-12-01,129,STORE,2131.50,PHP,IN1005,TYPE5
5325088820,2020-08-14,177,STORE,1206.00,PHP,IN1003,TYPE3
2025801319,2020-02-11,MOB,MOBILE,8913.00,PHP,IN1003,TYPE3
7338226805,2020-07-14,MOB,MOBILE,857.75,PHP,IN1003,TYPE3
2255571421,2020-02-18,265,STORE,480.50,PHP,IN1001,TYPE1
0744353678,2020-10-28,987,STORE,5795.00,PHP,IN1005,TYPE5
4316690429,2020-12-28,409,STORE,5588.75,PHP,IN1002,TYPE2
7140603082,2020-12-13,751,STORE,2783.50,PHP,IN1005,TYPE5
8708284750,2020-08-25,762,STORE,6615.75,PHP,IN1004,TYPE4
7765552457,2020-09-08,MOB,MOBILE,6030.75,PHP,IN1005,TYPE5
8634693797,2020-05-28,MOB,MOBILE,3003.25,PHP,IN1003,TYPE3
6252414250,2020-03-24,041,STORE,4296.75,PHP,IN1003,TYPE3
2497006218,2020-01-11,613,STORE,9014.25,PHP,IN1003,TYPE3
4850163567,2020-09-19,MOB,MOBILE,1583.00,PHP,IN1003,TYPE3
6503634103,2020-07-01,922,STORE,6793.25,PHP,IN1001,TYPE1
8793513843,2020-04-07,MOB,MOBILE,3399.50,PHP,IN1001,TYPE1
6320528709,2020-07-18,MOB,MOBILE,2082.25,PHP,IN1004,TYPE4
0874426495,2020-09-14,MOB,MOBILE,5273.75,PHP,IN1001,TYPE1
4868429721,2020-04-26,MOB,MOBILE,827.75,PHP,IN1002,TYPE2
7099463479,2020-03-16,935,STORE,574.50,PHP,IN1005,TYPE5
4961759138,2020-10-22,MOB,MOBILE,8892.25,PHP,IN1003,TYPE3
4623982157,2020-06-21,MOB,MOBILE,3378.25,PHP,IN1005,TYPE5
4557209180,2020-09-02,MOB,MOBILE,8790.00,PHP,IN1003,TYPE3
9102206596,2020-12-28,MOB,MOBILE,8918.25,PHP,IN1005,TYPE5
1786546402,2020-04-26,MOB,MOBILE,7208.25,PHP,IN1001,TYPE1
7033763208,2020-02-28,MOB,MOBILE,4974.00,PHP,IN1003,TYPE3
9544368358,2020-12-07,MOB,MOBILE,1752.25,PHP,IN1002,TYPE2
6139574815,2020-11-20,613,STORE,2446.75,PHP,IN1005,TYPE5
6458793554,2020-04-27,678,STORE,6352.25,PHP,IN1001,TYPE1
1398393696,2020-08-23,MOB,MOBILE,2058.75,PHP,IN1005,TYPE5
0564680787,2020-04-07,010,STORE,3772.25,PHP,IN1002,TYPE2
6434592226,2020-02-10,MOB,MOBILE,6607.50,PHP,IN1001,TYPE1
0118115511,2020-06-27,MOB,MOBILE,2677.25,PHP,IN1003,TYPE3
6820598982,2020-02-22,MOB,MOBILE,357.50,PHP,IN1004,TYPE4
2008621756,2020-09-13,909,STORE,9144.50,PHP,IN1002,TYPE2
9198645410,2020-12-25,408,STORE,5704.00,PHP,IN1003,TYPE3
0229705025,2020-05-20,MOB,MOBILE,6692.75,PHP,IN1003,TYPE3
0692785660,2020-10-02,747,STORE,5776.00,PHP,IN1003,TYPE3
7450905072,2020-08-21,MOB,MOBILE,8747.75,PHP,IN1002,TYPE2
0387007870,2020-11-28,313,STORE,9892.75,PHP,IN1004,TYPE4
1667031409,2020-08-17,361,STORE,8097.75,PHP,IN1001,TYPE1
4061946010,2020-03-29,540,STORE,3008.25,PHP,IN1005,TYPE5
3776603233,2020-12-09,MOB,MOBILE,6868.00,PHP,IN1003,TYPE3
0268074048,2020-01-04,MOB,MOBILE,3139.50,PHP,IN1005,TYPE5
6830529338,2020-10-31,563,STORE,1573.25,PHP,IN1004,TYPE4
4162155917,2020-12-02,MOB,MOBILE,3001.00,PHP,IN1005,TYPE5
5760668309,2020-04-22,MOB,MOBILE,388.00,PHP,IN1002,TYPE2
7406657285,2020-04-23,139,STORE,7358.25,PHP,IN1004,TYPE4
2248182711,2020-08-31,515,STORE,2689.25,PHP,IN1004,TYPE4
0205741029,2020-07-01,432,STORE,3966.75,PHP,IN1005,TYPE5
2686318761,2020-12-18,899,STORE,5288.25,PHP,IN1005,TYPE5
8322782395,2020-04-10,692,STORE,8493.25,PHP,IN1003,TYPE3
7011959160,2020-06-24,471,STORE,7705.00,PHP,IN1003,TYPE3
5603169505,2020-05-28,MOB,MOBILE,8265.75,PHP,IN1004,TYPE4
7246493590,2020-06-28,236,STORE,1547.00,PHP,IN1004,TYPE4
5322070137,2020-03-07,MOB,MOBILE,2594.50,PHP,IN1002,TYPE2
8221539845,2020-07-24,790,STORE,3966.00,PHP,IN1001,TYPE1
6340039010,2020-05-07,MOB,MOBILE,4743.75,PHP,IN1002,TYPE2
4762319880,2020-06-14,MOB,MOBILE,9399.25,PHP,IN1005,TYPE5
1469594552,2020-11-02,MOB,MOBILE,9473.50,PHP,IN1003,TYPE3
8483649116,2020-08-21,MOB,MOBILE,1589.75,PHP,IN1005,TYPE5
9243684105,2020-02-04,MOB,MOBILE,1411.75,PHP,IN1005,TYPE5
4083975578,2020-12-28,MOB,MOBILE,3069.75,PHP,IN1005,TYPE5
9180218654,2020-07-04,MOB,MOBILE,3798.25,PHP,IN1001,TYPE1
9498839575,2020-01-12,612,STORE,302.75,PHP,IN1003,TYPE3
0173431185,2020-04-27,MOB,MOBILE,6294.75,PHP,IN1002,TYPE2
6776963760,2020-02-29,MOB,MOBILE,8758.25,PHP,IN1001,TYPE1
0189215086,2020-12-20,905,STORE,4810.25,PHP,IN1003,TYPE3
0166496594,2020-05-21,MOB,MOBILE,29.75,PHP,IN1002,TYPE2
9238159636,2020-07-12,MOB,MOBILE,3824.75,PHP,IN1003,TYPE3
9791405095,2020-04-03,MOB,MOBILE,9701.75,PHP,IN1001,TYPE1
0382684074,2020-09-19,451,STORE,9537.50,PHP,IN1004,TYPE4
6351025023,2020-09-16,MOB,MOBILE,6406.75,PHP,IN1001,TYPE1
9291403076,2020-08-28,MOB,MOBILE,7247.50,PHP,IN1002,TYPE2
8220516655,2020-09-20,092,STORE,218.00,PHP,IN1005,TYPE5
5994104620,2020-02-27,479,STORE,3586.00,PHP,IN1001,TYPE1
7239443042,2020-09-14,MOB,MOBILE,6407.50,PHP,IN1004,TYPE4
6881211538,2020-03-13,412,STORE,2467.00,PHP,IN1001,TYPE1
8487865640,2020-11-30,MOB,MOBILE,2136.50,PHP,IN1003,TYPE3
6843892889,2020-07-24,232,STORE,7336.50,PHP,IN1005,TYPE5
9080123061,2020-02-17,MOB,MOBILE,7439.75,PHP,IN1002,TYPE2
8688607341,2020-04-23,965,STORE,9588.50,PHP,IN1001,TYPE1
2139769058,2020-08-18,022,STORE,4025.25,PHP,IN1003,TYPE3
6614344072,2020-03-12,516,STORE,7155.25,PHP,IN1005,TYPE5
7286504143,2020-08-07,MOB,MOBILE,9701.50,PHP,IN1004,TYPE4
9396000655,2020-10-30,590,STORE,2280.00,PHP,IN1003,TYPE3
3881459743,2020-09-10,MOB,MOBILE,5167.75,PHP,IN1001,TYPE1
3152918110,2020-04-05,MOB,MOBILE,8193.25,PHP,IN1002,TYPE2
3804263135,2020-02-02,706,STORE,6289.25,PHP,IN1001,TYPE1
2572231117,2020-11-06,835,STORE,5743.75,PHP,IN1003,TYPE3
8873604463,2020-02-12,916,STORE,6804.25,PHP,IN1003,TYPE3
2915740013,2020-10-30,MOB,MOBILE,4088.00,PHP,IN1003,TYPE3
3904348128,2020-01-28,MOB,MOBILE,5493.25,PHP,IN1002,TYPE2
8675440364,2020-06-25,686,STORE,4304.50,PHP,IN1005,TYPE5
9867749546,2020-11-09,787,STORE,7065.00,PHP,IN1004,TYPE4
1105647933,2020-10-05,013,STORE,7881.75,PHP,IN1001,TYPE1
8514398110,2020-09-08,217,STORE,8596.50,PHP,IN1003,TYPE3
6849528727,2020-07-17,890,STORE,9356.00,PHP,IN1002,TYPE2
8163844291,2020-09-10,236,STORE,7032.25,PHP,IN1003,TYPE3
5165399423,2020-07-27,MOB,MOBILE,4928.50,PHP,IN1001,TYPE1
4966997915,2020-05-05,MOB,MOBILE,6382.75,PHP,IN1001,TYPE1
6108327936,2020-12-14,MOB,MOBILE,5753.75,PHP,IN1003,TYPE3
2020023446,2020-05-23,MOB,MOBILE,5773.75,PHP,IN1002,TYPE2
7522068519,2020-04-09,MOB,MOBILE,2438.50,PHP,IN1003,TYPE3
1175369432,2020-05-01,365,STORE,3423.50,PHP,IN1005,TYPE5
9773743356,2020-09-18,185,STORE,238.50,PHP,IN1003,TYPE3
7661895244,2020-04-27,325,STORE,9500.00,PHP,IN1004,TYPE4
9605392159,2020-01-04,MOB,MOBILE,7140.00,PHP,IN1005,TYPE5
3679090534,2020-11-15,MOB,MOBILE,2853.25,PHP,IN1003,TYPE3
9885009492,2020-12-28,136,STORE,2327.75,PHP,IN1001,TYPE1
9627624195,2020-08-15,MOB,MOBILE,3118.00,PHP,IN1005,TYPE5
7589970518,2020-08-15,MOB,MOBILE,6588.75,PHP,IN1004,TYPE4
6468172581,2020-06-21,MOB,MOBILE,1404.25,PHP,IN1001,TYPE1
1255710630,2020-08-30,114,STORE,3480.50,PHP,IN1005,TYPE5
4754692271,2020-08-28,470,STORE,8011.50,PHP,IN1004,TYPE4
3530390448,2020-01-03,106,STORE,2949.75,PHP,IN1001,TYPE1
1648740899,2020-09-19,MOB,MOBILE,8898.00,PHP,IN1001,TYPE1
3100165542,2020-02-23,265,STORE,6996.25,PHP,IN1005,TYPE5
7739065397,2020-05-26,MOB,MOBILE,7216.50,PHP,IN1003,TYPE3
3932845810,2020-04-08,461,STORE,321.00,PHP,IN1003,TYPE3
1228708219,2020-04-22,MOB,MOBILE,5829.75,PHP,IN1001,TYPE1
0202646992,2020-02-27,229,STORE,4424.50,PHP,IN1004,TYPE4
4770748134,2020-01-19,MOB,MOBILE,149.00,PHP,IN1005,TYPE5
9241186481,2020-11-30,705,STORE,1308.50,PHP,IN1002,TYPE2
7730709041,2020-11-07,MOB,MOBILE,5153.75,PHP,IN1001,TYPE1
4830590196,2020-08-29,MOB,MOBILE,6961.25,PHP,IN1001,TYPE1
5240065487,2020-11-23,MOB,MOBILE,8070.75,PHP,IN1004,TYPE4
4327729164,2020-06-08,MOB,MOBILE,219.50,PHP,IN1002,TYPE2
7268577364,2020-04-11,MOB,MOBILE,4593.00,PHP,IN1005,TYPE5
2870161869,2020-02-27,175,STORE,7573.25,PHP,IN1003,TYPE3
3431448850,2020-12-18,513,STORE,46.25,PHP,IN1002,TYPE2
0604569769,2020-05-03,MOB,MOBILE,7658.25,PHP,IN1005,TYPE5
4548316464,2020-06-26,MOB,MOBILE,9922.75,PHP,IN1005,TYPE5
8139269051,2020-06-06,MOB,MOBILE,6991.75,PHP,IN1004,TYPE4
7289921852,2020-02-06,MOB,MOBILE,2141.25,PHP,IN1004,TYPE4
1957130562,2020-10-28,694,STORE,6619.75,PHP,IN1005,TYPE5
1263380975,2020-08-17,MOB,MOBILE,6611.50,PHP,IN1003,TYPE3
3757499701,2020-10-28,810,STORE,9056.00,PHP,IN1002,TYPE2
7269370137,2020-06-08,MOB,MOBILE,9614.25,PHP,IN1001,TYPE1
9916094557,2020-04-17,MOB,MOBILE,6017.75,PHP,IN1005,TYPE5
2650453236,2020-11-25,370,STORE,5037.00,PHP,IN1002,TYPE2
6407607554,2020-10-03,792,STORE,9210.75,PHP,IN1003,TYPE3
1572048751,2020-07-01,106,STORE,3527.00,PHP,IN1002,TYPE2
8609202094,2020-09-25,179,STORE,6090.75,PHP,IN1005,TYPE5
4169194998,2020-01-01,MOB,MOBILE,981.25,PHP,IN1003,TYPE3
8603196910,2020-02-16,MOB,MOBILE,3501.00,PHP,IN1005,TYPE5
5012282861,2020-07-05,083,STORE,4787.00,PHP,IN1001,TYPE1
7554387727,2020-05-22,MOB,MOBILE,224.00,PHP,IN1001,TYPE1
8462583437,2020-11-22,716,STORE,1593.00,PHP,IN1003,TYPE3
2779281551,2020-12-22,MOB,MOBILE,9669.50,PHP,IN1001,TYPE1
3233541416,2020-01-29,MOB,MOBILE,8808.00,PHP,IN1004,TYPE4
8158419831,2020-09-06,MOB,MOBILE,6207.00,PHP,IN1005,TYPE5
4424859566,2020-09-04,730,STORE,7645.25,PHP,IN1004,TYPE4
8501194547,2020-08-02,257,STORE,8203.25,PHP,IN1001,TYPE1
6846505236,2020-03-19,268,STORE,8145.75,PHP,IN1004,TYPE4
8226257893,2020-03-31,MOB,MOBILE,344.00,PHP,IN1004,TYPE4
1217638412,2020-08-27,MOB,MOBILE,5982.50,PHP,IN1001,TYPE1
9505036715,2020-07-11,595,STORE,621.00,PHP,IN1002,TYPE2
1961906188,2020-12-27,990,STORE,5409.50,PHP,IN1003,TYPE3
5287077878,2020-10-06,500,STORE,6257.75,PHP,IN1003,TYPE3
4230619246,2020-04-25,MOB,MOBILE,7234.75,PHP,IN1004,TYPE4
8650700050,2020-09-28,883,STORE,9086.00,PHP,IN1001,TYPE1
2643269965,2020-01-02,388,STORE,3028.25,PHP,IN1001,TYPE1
6615409165,2020-12-05,MOB,MOBILE,4114.50,PHP,IN1004,TYPE4
4940371747,2020-08-21,MOB,MOBILE,7188.25,PHP,IN1004,TYPE4
0490057406,2020-01-01,MOB,MOBILE,5958.00,PHP,IN1003,TYPE3
4182966725,2020-05-14,MOB,MOBILE,404.00,PHP,IN1005,TYPE5
8502021373,2020-07-04,MOB,MOBILE,5960.25,PHP,IN1003,TYPE3
9692476302,2020-07-01,MOB,MOBILE,5281.00,PHP,IN1005,TYPE5
2880058037,2020-06-06,MOB,MOBILE,1659.25,PHP,IN1002,TYPE2
9826792136,2020-05-27,MOB,MOBILE,4590.00,PHP,IN1004,TYPE4
7932421029,2020-03-09,373,STORE,5572.75,PHP,IN1001,TYPE1
5598901026,2020-11-28,MOB,MOBILE,635.25,PHP,IN1002,TYPE2
3086899806,2020-06-05,MOB,MOBILE,5056.25,PHP,IN1004,TYPE4
4606875962,2020-01-30,MOB,MOBILE,6415.25,PHP,IN1002,TYPE2
7809442613,2020-07-20,499,STORE,5993.75,PHP,IN1002,TYPE2
3668552772,2020-06-24,327,STORE,1604.50,PHP,IN1003,TYPE3
1063882148,2020-05-08,742,STORE,7108.00,PHP,IN1005,TYPE5
5260749816,2020-03-29,102,STORE,4232.25,PHP,IN1002,TYPE2
8227060436,2020-11-12,932,STORE,4650.25,PHP,IN1003,TYPE3
6213963381,2020-07-26,MOB,MOBILE,5044.00,PHP,IN1003,TYPE3
3398113609,2020-05-13,105,STORE,8664.00,PHP,IN1004,TYPE4
5686841125,2020-02-23,530,STORE,9459.00,PHP,IN1002,TYPE2
5750363388,2020-09-23,MOB,MOBILE,8598.50,PHP,IN1005,TYPE5
5956904540,2020-10-28,MOB,MOBILE,5427.00,PHP,IN1005,TYPE5
1069505031,2020-03-01,441,STORE,4684.75,PHP,IN1003,TYPE3
2260831182,2020-11-18,MOB,MOBILE,636.50,PHP,IN1004,TYPE4
2331919524,2020-02-14,384,STORE,854.75,PHP,IN1002,TYPE2
5300970980,2020-08-03,490,STORE,6006.75,PHP,IN1005,TYPE5
9114186656,2020-03-23,MOB,MOBILE,208.25,PHP,IN1005,TYPE5
3859693997,2020-02-26,MOB,MOBILE,9431.50,PHP,IN1004,TYPE4
8646857015,2020-06-09,563,STORE,6070.75,PHP,IN1003,TYPE3
8382107800,2020-02-27,MOB,MOBILE,6659.25,PHP,IN1004,TYPE4
5946551297,2020-06-20,355,STORE,3014.50,PHP,IN1004,TYPE4
6448031135,2020-02-11,MOB,MOBILE,7522.50,PHP,IN1002,TYPE2
6409482227,2020-05-28,673,STORE,9287.50,PHP,IN1005,TYPE5
8870324013,2020-09-17,MOB,MOBILE,3200.00,PHP,IN1002,TYPE2
5277479308,2020-08-10,552,STORE,9434.25,PHP,IN1003,TYPE3
3793012760,2020-02-03,MOB,MOBILE,8630.50,PHP,IN1005,TYPE5
0929337859,2020-05-02,MOB,MOBILE,2102.50,PHP,IN1002,TYPE2
6480599396,2020-01-31,MOB,MOBILE,7279.25,PHP,IN1003,TYPE3
2422003422,2020-06-19,MOB,MOBILE,7309.75,PHP,IN1003,TYPE3
8319714154,2020-02-28,248,STORE,8523.25,PHP,IN1001,TYPE1
3982250040,2020-12-02,MOB,MOBILE,6440.00,PHP,IN1001,TYPE1
4729953586,2020-02-21,MOB,MOBILE,7957.75,PHP,IN1002,TYPE2
5056144805,2020-06-02,MOB,MOBILE,9912.50,PHP,IN1002,TYPE2
3395023016,2020-06-06,MOB,MOBILE,16.75,PHP,IN1001,TYPE1
2560253946,2020-03-13,MOB,MOBILE,1554.00,PHP,IN1003,TYPE3
2794062681,2020-09-17,MOB,MOBILE,2052.00,PHP,IN1001,TYPE1
0557617689,2020-01-27,MOB,MOBILE,9720.00,PHP,IN1001,TYPE1
2722119903,2020-10-17,850,STORE,6365.00,PHP,IN1005,TYPE5
7351788664,2020-07-15,MOB,MOBILE,4785.00,PHP,IN1002,TYPE2
6589510891,2020-12-14,676,STORE,3062.75,PHP,IN1003,TYPE3
8923802473,2020-11-12,MOB,MOBILE,6107.25,PHP,IN1005,TYPE5
9167869477,2020-12-31,589,STORE,1821.00,PHP,IN1002,TYPE2
4115368141,2020-02-19,MOB,MOBILE,3274.00,PHP,IN1004,TYPE4
